id,name,created_at,updated_at
47,محامين,2021-09-08 07:46:08.929608,2021-10-08 03:13:46.165817
33,النقل والمواصلات,2021-08-27 02:26:00.697959,2021-10-08 03:14:30.189467
35,مدرسين,2021-08-30 11:59:50.359595,2021-10-08 03:14:43.806147
34,صيدليات,2021-08-27 14:06:21.184043,2021-10-08 03:14:57.990454
41,ملابس وأحذية,2021-08-31 16:35:03.117504,2021-10-08 03:45:21.536219
38,ادوات واجهزة منزلية,2021-08-31 16:12:26.264345,2021-10-08 03:47:26.402866
40,حدايد وأدوات صحية,2021-08-31 16:16:27.677437,2021-10-08 03:48:03.539619
36,اشعة وتحاليل طبية,2021-08-30 23:15:24.154317,2021-10-08 03:50:04.320778
48,المكتبات,2021-10-05 13:14:40.6121,2021-10-08 03:50:28.062681
43,استشارات هندسية,2021-09-01 15:13:12.103096,2021-10-08 03:52:59.006533
44,الالكترونيات,2021-09-02 13:13:49.84794,2021-10-08 03:53:22.555654
42,الأطباء البيطريون,2021-09-01 07:24:14.465782,2021-10-08 03:53:50.054077
39,الحرفيين,2021-08-31 16:12:54.303106,2021-10-08 03:55:25.410078
46,المرأه - الصحة والجمال,2021-09-03 12:15:12.702132,2021-12-13 14:21:12.102388
45,الترفيه والنوادي,2021-09-03 12:09:01.184,2021-12-13 14:22:21.935133
49,عالم الطيور,2022-02-03 16:39:28.432596,2022-02-03 16:45:03.923518
50,شخصيات عامة,2022-03-22 21:04:04.661463,2022-03-22 21:09:39.650223
37,ماركت,2021-08-30 23:24:21.794661,2022-04-17 17:15:12.020772
31,الأطباء,2021-08-25 19:21:57.697499,2022-04-19 01:45:29.084047
32,مطاعم وأكل,2021-08-25 19:36:47.711713,2022-04-30 23:17:04.434137
